"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R82","0402","41148.82mil","41790.47mil","41148.82mil","41790.47mil","41167.718mil","41790.47mil","T","180.00","0R"
"R81","0402","41243.82mil","41980.47mil","41243.82mil","41980.47mil","41262.718mil","41980.47mil","T","180.00","2k"
"R77","0402","40653.82mil","43060.47mil","40653.82mil","43060.47mil","40634.922mil","43060.47mil","T","360.00","100k"
"R76","0402","43398.82mil","41740.47mil","43398.82mil","41740.47mil","43398.82mil","41759.368mil","T","270.00","10k"
"R75","0402","43398.82mil","41825.47mil","43398.82mil","41825.47mil","43398.82mil","41806.572mil","T","90.00","0R"
"R74","0805","40805mil","42440mil","40805mil","42440mil","40805mil","42474.449mil","T","270.00","0R"
"R73","0402","41093.82mil","42145.47mil","41093.82mil","42145.47mil","41112.718mil","42145.47mil","T","180.00","2k"
"R72","0402","41093.82mil","42095.47mil","41093.82mil","42095.47mil","41074.922mil","42095.47mil","T","360.00","10k"
"R71","0402","41093.82mil","42025.47mil","41093.82mil","42025.47mil","41074.922mil","42025.47mil","T","360.00","0R"
"R70","0402","42328.83mil","42030.47mil","42328.83mil","42030.47mil","42347.728mil","42030.47mil","T","180.00","2k"
"R69","0402","42328.83mil","41990.47mil","42328.83mil","41990.47mil","42347.728mil","41990.47mil","T","180.00","2k"
"R68","0402","42328.83mil","42070.48mil","42328.83mil","42070.48mil","42347.728mil","42070.48mil","T","180.00","0R"
"R67","0402","42328.81mil","41950.46mil","42328.81mil","41950.46mil","42309.912mil","41950.46mil","T","360.00","200k"
"R66","0402","42258.82mil","42260.47mil","42258.82mil","42260.47mil","42258.82mil","42279.368mil","T","270.00","0R"
"R65","0402","42348.82mil","42260.46mil","42348.82mil","42260.46mil","42348.82mil","42279.358mil","T","270.00","0R"
"R64","0402","42388.82mil","42260.48mil","42388.82mil","42260.48mil","42388.82mil","42241.582mil","T","90.00","0R"
"R63","0402","42303.82mil","42260.48mil","42303.82mil","42260.48mil","42303.82mil","42241.582mil","T","90.00","0R"
"R62","0402","42328.82mil","42110.47mil","42328.82mil","42110.47mil","42347.718mil","42110.47mil","T","180.00","0R"
"R61","0402","41803.81mil","42645.47mil","41803.81mil","42645.47mil","41822.708mil","42645.47mil","T","180.00","0R"
"R60","0402","41478.82mil","42745.47mil","41478.82mil","42745.47mil","41497.718mil","42745.47mil","T","180.00","0R"
"R59","0402","41803.81mil","42605.47mil","41803.81mil","42605.47mil","41822.708mil","42605.47mil","T","180.00","0R"
"R58","0402","41803.82mil","42560.47mil","41803.82mil","42560.47mil","41822.718mil","42560.47mil","T","180.00","0R"
"R57","0402","41478.82mil","42700.47mil","41478.82mil","42700.47mil","41497.718mil","42700.47mil","T","180.00","0R"
"R56","0402","41923.82mil","42070.47mil","41923.82mil","42070.47mil","41904.922mil","42070.47mil","T","360.00","0R"
